year,risk_score,Prixm2Moyen,Prixm2Moyen_previous_year,change
2014,0.0,1488.3703354869378,,
2015,0.0,1441.1585994115558,1488.3703354869378,-3.1720422632540712
2016,0.0,1441.7669553938877,1441.1585994115558,0.04221297937508657
2017,0.0,1505.3356204188444,1441.7669553938877,4.409080454170207
2018,0.0,1532.6408040897677,1505.3356204188444,1.8138934135715115
2019,0.0,1525.9266017442872,1532.6408040897677,-0.43808062055793273
2020,0.0,1601.1063094142116,1525.9266017442872,4.926823320596583
2021,0.0,1700.8888867746819,1601.1063094142116,6.232101939375727
2022,0.0,1806.4617037883481,1700.8888867746819,6.206920265900449
2023,0.0,1776.6950539729387,1806.4617037883481,-1.6477874816269569
2014,1.0,1368.7909901674223,,
2015,1.0,1635.21753822523,1368.7909901674223,19.464370380259453
2016,1.0,1599.8136951416725,1635.21753822523,-2.165084599201576
2017,1.0,1448.430396446204,1599.8136951416725,-9.462557993795812
2018,1.0,1422.8711608801889,1448.430396446204,-1.7646160719027963
2019,1.0,1761.1069332639697,1422.8711608801889,23.771356232601413
2020,1.0,1548.2960014651164,1761.1069332639697,-12.083930156611073
2021,1.0,1666.830806675622,1548.2960014651164,7.655823246868737
2022,1.0,2017.126923337232,1666.830806675622,21.01569728965181
2023,1.0,2696.481146717101,2017.126923337232,33.679299776333
2014,2.0,1640.07239819005,,
2016,2.0,1522.487621374383,1640.07239819005,-7.169486965662686
2018,2.0,1379.56145320197,1522.487621374383,-9.387673578809824
2021,2.0,1634.983713701757,1379.56145320197,18.51474321110891
2023,2.0,1635.67584097859,1634.983713701757,0.042332365211509855
2018,3.0,1679.7142857142849,,
2021,3.0,1919.344405594405,1679.7142857142849,14.266123823446526
2023,3.0,1954.5413710930443,1919.344405594405,1.833801447830255
